started,route,n_timesteps,reused_pairs,total_pairs,reuse_pct,cached_vars,want_vars,wire_mib,total_s,ssh_exec,remote_jobs
2026-07-31T15:42:06,remote_reduce,,,,0.0,0,4,1365.33,141.6559,4,1
2026-07-31T15:44:28,remote_reduce,,,,80.0,4,5,341.33,87.8953,4,1
2026-07-31T15:45:56,remote_reduce,,,,83.3,5,6,341.33,85.2998,4,1
2026-07-31T15:50:05,remote_reduce,,,,0.0,0,6,34.56,86.8074,4,1
2026-07-31T15:51:32,remote_reduce,,,,66.7,6,9,17.28,82.6171,4,1
2026-07-31T15:52:55,remote_reduce,,,,100.0,4,4,0.0,15.1115,,
2026-07-31T15:53:10,remote_reduce,,,,0.0,0,6,1.72,74.2571,4,1
2026-07-31T15:54:24,remote_reduce,,,,66.7,6,9,0.86,74.2377,4,1
2026-07-31T15:55:38,remote_reduce,,,,0.0,0,6,149.41,88.9915,4,1
