"E1 — One request, two routes: reduce next to the data vs fetch whole and narrow locally"
Quantity,E1a — remote reduce,E1b — no remote reduce
Source,"19,968.06 MiB; HDF5 timeseries, 3 timesteps x 6.98 GB; 13 variables; 512³ grid",same source
Request,"timesteps(0–2) → fields(baryon_density, dark_matter_density — 2/13) → region(120³ box) → threshold(baryon_density > 1.0) → save",identical
Output transferred,39.55 MiB,"19,968.06 MiB"
Network bandwidth,3.79 MiB/s (latency-bound),16.02 MiB/s
Remote reduction time,14.90 s,none — nothing ran remotely
Local work time,0.06 s,0.33 s
Pull time,10.44 s,"1,246.39 s"
End-to-end Sieve time,97.35 s,"1,262.76 s"
"(note) a payload under 256 MiB times the fixed per-transfer cost, not the link — a (latency-bound) rate above is not evidence of a slower connection","same link, minutes apart",the unflagged rate is the session's real link speed

"E1local — Same request without remote reduce (whole-file fetch, local narrowing)"
Quantity,Value
"Gate, unconfirmed run",NEEDS CONFIRM — 0.00 MiB crossed
Gate predicted over the wire,"6,656.02 MiB"
Gate predicted time,103–412 min
Gate decision,HELD (over budget)
Source,"6,656.02 MiB HDF5; 13 variables; 512³ grid"
Request,"fields(temperature, baryon_density — 2/13) → subsample(2) → save"
Over the wire,"6,656.02 MiB"
Result kept,128.00 MiB
Over-fetch (wire ÷ result),52.0x
Wire ÷ source,1.0x
Transfer time,710.09 s
Transfer throughput,9.37 MiB/s
Fetch phase (transfer + probes),716.77 s
Local inspect,0.11 s
Local narrowing (materialize),0.49 s
Local save,0.02 s
"Local work, total",0.61 s
End-to-end Sieve time,748.17 s
Share of wall clock spent transferring,94.9%

"E1 vs E1local — same request, same file: reduce next to the data vs fetch the whole file"
Quantity,"remote reduce (archive-hdf5-NYX-512, 2026-07-31)",no remote reduce (this session),penalty
Source,"6,656.02 MiB HDF5; 13 variables; 512³ grid",same file,
Request,"fields(temperature, baryon_density — 2/13) → subsample(2) → save",identical,
Route,remote_reduce,whole_file_fetch,
Output transferred,128.00 MiB,"6,656.02 MiB",52.0x the bytes
Result kept,128.00 MiB,128.00 MiB,same result
Over-fetch (wire ÷ result),1.0x,52.0x,
Remote reduction time,14.84 s,none — nothing ran remotely,
Transfer time (rsync alone),16.07 s,710.09 s,44.2x
Pull / fetch phase (transfer + probes),24.23 s,716.77 s,29.6x
Effective transfer rate,7.97 MiB/s,9.37 MiB/s,
Local work (inspect + narrow + save),0.06 s,0.61 s,
ssh round trips (query + exec),7,3,
srun jobs,1,0,
End-to-end Sieve time,84.43 s,748.17 s,8.9x the wall clock
(note) link speed differed between the sessions,7.97 MiB/s,9.37 MiB/s,"the fetch run's link was 1.18x faster, so the wall-clock penalty is conservative"

E2 — Eight-question investigation of one 8.31 GiB HACC snapshot
Query,Request,Reuse,Hit (%),Wire,srun,Pull (s),Total (s)
(no E2 runs recorded)
